Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LTIM.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2019-10-03,142.1529083251953,389.6737060546875,1359.6099853515625,1681.06982421875,665.5003662109375,2486.713623046875,3893.85986328125,842.6867065429688,200.2042999267578,332.45147705078125,2627.482177734375,402.62982177734375,115.85308074951172,1562.359619140625,2594.052490234375,1752.029296875,662.419189453125,459.24407958984375,1174.581787109375,585.5762329101562,2311.40625,176.609130859375,1817.2679443359375,413.0531921386719,214.01129150390625,1212.44140625,696.7781982421875,205.93801879882812,1610.883056640625,1406.29736328125,1339.4649658203125,533.2413940429688,6485.06591796875,89.60457611083984,1296.8272705078125,94.5142593383789,84.42168426513672,1177.689453125,823.3453369140625,928.0635986328125,239.21725463867188,368.6919860839844,1849.7039794921875,262.4346618652344,121.64431762695312,13.662101745605469,604.5509033203125,1265.539306640625,4047.60009765625,230.99903869628906
2019-10-04,138.63743591308594,380.7012939453125,1380.658203125,1657.4725341796875,653.5524291992188,2457.23779296875,3838.939697265625,828.150390625,194.15975952148438,327.246337890625,2575.167236328125,402.8705749511719,115.26374053955078,1556.5068359375,2536.447998046875,1724.6585693359375,637.8093872070312,460.2248229980469,1142.08642578125,577.2305908203125,2312.142822265625,176.12554931640625,1800.735107421875,400.1000061035156,210.41238403320312,1221.9053955078125,703.7406005859375,199.52423095703125,1558.44140625,1409.0067138671875,1309.01123046875,534.710205078125,6384.77587890625,90.10344696044922,1271.396240234375,95.58409118652344,83.3404312133789,1175.0394287109375,817.001708984375,916.6904296875,235.26402282714844,366.69720458984375,1866.8519287109375,256.1324462890625,118.91129302978516,13.40060806274414,609.4130249023438,1221.970703125,3884.3515625,232.8109588623047
2019-10-07,134.4783172607422,381.3283996582031,1390.714111328125,1658.1934814453125,670.5284423828125,2481.908447265625,3835.9404296875,820.09423828125,184.7822723388672,329.2223815917969,2673.099609375,393.144287109375,114.39522552490234,1579.918212890625,2535.236572265625,1724.8118896484375,632.54638671875,458.2204284667969,1139.398681640625,568.3418579101562,2317.08203125,176.3189697265625,1796.8912353515625,402.22662353515625,206.03648376464844,1198.4871826171875,700.2816162109375,193.34283447265625,1550.9642333984375,1382.84375,1284.1612548828125,524.0017700195312,6365.8125,88.99057006835938,1286.7532958984375,93.3706283569336,83.3192367553711,1176.8360595703125,820.6195678710938,954.7659301757812,234.46397399902344,360.8555908203125,1838.4364013671875,255.65133666992188,116.77456665039062,13.066699981689453,606.5300903320312,1229.8831787109375,3777.8125,232.17434692382812
2019-10-09,137.64718627929688,386.3452453613281,1404.91064453125,1704.6190185546875,683.3226928710938,2481.522216796875,3956.892333984375,829.8963623046875,185.61080932617188,346.4281005859375,2768.27197265625,407.685546875,114.98458099365234,1583.7078857421875,2580.729248046875,1747.688720703125,653.4038696289062,448.28314208984375,1178.997802734375,573.3294067382812,2256.728759765625,179.94595336914062,1804.25439453125,422.13983154296875,202.11041259765625,1263.7686767578125,695.0487670898438,197.8046112060547,1607.4932861328125,1401.671875,1310.25146484375,546.3662719726562,6451.939453125,89.98832702636719,1310.869140625,92.85416412353516,83.82806396484375,1189.995849609375,829.8873291015625,1010.1484375,245.6177215576172,364.7025451660156,1813.6571044921875,259.7406005859375,120.15357208251953,13.535379409790039,611.90869140625,1201.84716796875,3946.8203125,232.85995483398438
2019-10-10,136.06272888183594,385.81463623046875,1392.29150390625,1709.5692138671875,670.0306396484375,2476.716796875,3883.14111328125,818.283447265625,184.4998016357422,363.63385009765625,2749.49072265625,406.5299377441406,114.48827362060547,1599.5872802734375,2551.757568359375,1729.7847900390625,678.9395751953125,453.5716857910156,1152.50244140625,576.588623046875,2254.5625,176.27061462402344,1823.4735107421875,409.5732727050781,198.9204864501953,1186.3675537109375,694.5165405273438,198.68765258789062,1580.0263671875,1377.1441650390625,1309.19482421875,536.4160766601562,6342.3837890625,89.98832702636719,1307.232421875,92.59593200683594,84.42168426513672,1224.130615234375,819.9257202148438,972.7023315429688,239.21725463867188,367.6471252441406,1799.6063232421875,256.56536865234375,116.07889556884766,13.273882865905762,612.123779296875,1206.1451416015625,3881.17919921875,234.28013610839844
2019-10-11,135.61712646484375,394.6423034667969,1427.6348876953125,1720.7667236328125,669.7816772460938,2487.486328125,3907.036376953125,815.0509033203125,183.7842559814453,369.0799255371094,2789.49658203125,425.0195617675781,117.2798843383789,1621.4632568359375,2569.101806640625,1744.028564453125,673.8713989257812,460.39544677734375,1150.8223876953125,583.3540649414062,2251.09619140625,181.05819702148438,1856.7244873046875,414.2615661621094,199.533935546875,1181.249267578125,722.6768188476562,201.94102478027344,1582.96728515625,1379.52685546875,1311.583251953125,530.7774658203125,6432.1123046875,89.5661849975586,1327.3375244140625,95.17826843261719,85.22730255126953,1215.012939453125,832.2166137695312,953.6422119140625,239.59375,366.93475341796875,1783.804931640625,261.7611083984375,120.55111694335938,13.637965202331543,620.858642578125,1214.83935546875,3979.66552734375,234.5249786376953
2019-10-14,145.66835021972656,393.09869384765625,1431.233154296875,1728.88916015625,680.5348510742188,2538.3291015625,3818.6337890625,806.3511352539062,183.01222229003906,379.34552001953125,2814.568115234375,424.5861511230469,117.9312973022461,1615.4664306640625,2569.586181640625,1756.178466796875,680.9376220703125,463.5088806152344,1156.1982421875,575.1071166992188,2260.931396484375,182.5089874267578,1865.6158447265625,414.5516052246094,199.6566162109375,1207.7095947265625,697.2215576171875,205.84503173828125,1580.7242431640625,1384.75927734375,1308.138427734375,538.8798828125,6549.44580078125,90.3720703125,1340.2587890625,99.78962707519531,84.1248779296875,1219.8636474609375,821.4125366210938,939.212158203125,240.44085693359375,374.8661193847656,1814.465087890625,265.32122802734375,127.0606689453125,13.873311996459961,620.2561645507812,1220.0657958984375,4070.538330078125,238.44271850585938
2019-10-15,153.491455078125,399.1767883300781,1462.7811279296875,1733.1182861328125,687.0564575195312,2584.5810546875,3814.847900390625,801.721923828125,184.65045166015625,369.8028259277344,2879.23828125,430.0271301269531,118.58267974853516,1624.485595703125,2601.319580078125,1839.6517333984375,685.8595581054688,462.5279541015625,1174.101806640625,585.4281005859375,2318.554931640625,186.23269653320312,1912.065185546875,417.4515380859375,202.51937866210938,1228.6170654296875,681.4342041015625,204.17189025878906,1610.7333984375,1393.7760009765625,1315.7633056640625,552.8577270507812,6707.5380859375,91.63843536376953,1332.4833984375,102.29818725585938,85.33331298828125,1225.3880615234375,830.6802978515625,944.1570434570312,243.26461791992188,376.9083557128906,1829.0992431640625,267.2455749511719,126.16622161865234,14.048310279846191,620.0411376953125,1242.680419921875,4105.873046875,238.63861083984375
2019-10-16,158.59132385253906,395.5588684082031,1462.23876953125,1697.169677734375,690.3919067382812,2594.663818359375,3949.517333984375,811.5440063476562,192.9734649658203,371.3450927734375,2875.30078125,430.2678527832031,120.69190979003906,1650.4873046875,2617.598388671875,1841.7119140625,712.3212890625,469.52239990234375,1172.22998046875,603.0575561523438,2254.995361328125,181.7836151123047,1918.1783447265625,420.7864990234375,199.28854370117188,1230.789794921875,684.2280883789062,204.77609252929688,1600.7138671875,1427.92822265625,1308.3680419921875,553.6632080078125,6697.21630859375,90.10344696044922,1357.5213623046875,104.51165008544922,84.18846893310547,1232.7540283203125,869.6346435546875,934.6268920898438,241.00559997558594,379.66302490234375,1837.2694091796875,265.1287841796875,125.0730209350586,13.975896835327148,626.2372436523438,1245.0736083984375,4182.787109375,243.78062438964844
2019-10-17,160.96798706054688,394.7388000488281,1466.281005859375,1741.961181640625,707.2185668945312,2670.005859375,4038.41162109375,829.73681640625,193.31240844726562,371.9234619140625,2939.65380859375,429.786376953125,123.70069122314453,1653.125732421875,2642.742919921875,1963.5228271484375,706.1809692382812,466.17437744140625,1171.173828125,607.5513916015625,2278.26171875,182.60572814941406,1948.604248046875,425.9097900390625,201.08802795410156,1294.14013671875,682.49853515625,207.23936462402344,1599.716796875,1400.7840576171875,1308.505859375,562.2393798828125,6840.18701171875,91.10118103027344,1373.1619873046875,104.32719421386719,83.82806396484375,1254.4473876953125,894.9600830078125,962.228271484375,249.85333251953125,381.3727722167969,1859.74951171875,268.88128662109375,138.6387481689453,14.325899124145508,623.354248046875,1247.515869140625,4158.5322265625,242.75222778320312
